Tar,Tar,Tar
0,0,0
0.2,0,0
0.5,0,0
0.7875,0,0
1,0,0
0,0.066667,0
0.2,0.066667,0
0.5,0.066667,0
0.7875,0.066667,0
1,0.066667,0
0,0.41667,0
0.2,0.41667,0
0.5,0.41667,0
0.7875,0.41667,0
1,0.41667,0
0,0.76333,0
0.2,0.76333,0
0.5,0.76333,0
0.7875,0.76333,0
1,0.76333,0
0,1,0
0.2,1,0
0.5,1,0
0.7875,1,0
1,1,0
0,0,0.20333
0.2,0,0.20333
0.5,0,0.20333
0.7875,0,0.20333
1,0,0.20333
0,0.066667,0.20333
0.2,0.066667,0.20333
0.5,0.066667,0.20333
0.7875,0.066667,0.20333
1,0.066667,0.20333
0,0.41667,0.20333
0.2,0.41667,0.20333
0.5,0.41667,0.20333
0.7875,0.41667,0.20333
1,0.41667,0.20333
0,0.76333,0.20333
0.2,0.76333,0.20333
0.5,0.76333,0.20333
0.7875,0.76333,0.20333
1,0.76333,0.20333
0,1,0.20333
0.2,1,0.20333
0.5,1,0.20333
0.7875,1,0.20333
1,1,0.20333
0,0,0.5
0.2,0,0.5
0.5,0,0.5
0.7875,0,0.5
1,0,0.5
0,0.066667,0.5
0.2,0.066667,0.5
0.5,0.066667,0.5
0.7875,0.066667,0.5
1,0.066667,0.5
0,0.41667,0.5
0.2,0.41667,0.5
0.5,0.41667,0.5
0.7875,0.41667,0.5
1,0.41667,0.5
0,0.76333,0.5
0.2,0.76333,0.5
0.5,0.76333,0.5
0.7875,0.76333,0.5
1,0.76333,0.5
0,1,0.5
0.2,1,0.5
0.5,1,0.5
0.7875,1,0.5
1,1,0.5
0,0,0.79667
0.2,0,0.79667
0.5,0,0.79667
0.7875,0,0.79667
1,0,0.79667
0,0.066667,0.79667
0.2,0.066667,0.79667
0.5,0.066667,0.79667
0.7875,0.066667,0.79667
1,0.066667,0.79667
0,0.41667,0.79667
0.2,0.41667,0.79667
0.5,0.41667,0.79667
0.7875,0.41667,0.79667
1,0.41667,0.79667
0,0.76333,0.79667
0.2,0.76333,0.79667
0.5,0.76333,0.79667
0.7875,0.76333,0.79667
1,0.76333,0.79667
0,1,0.79667
0.2,1,0.79667
0.5,1,0.79667
0.7875,1,0.79667
1,1,0.79667
0,0,1
0.2,0,1
0.5,0,1
0.7875,0,1
1,0,1
0,0.066667,1
0.2,0.066667,1
0.5,0.066667,1
0.7875,0.066667,1
1,0.066667,1
0,0.41667,1
0.2,0.41667,1
0.5,0.41667,1
0.7875,0.41667,1
1,0.41667,1
0,0.76333,1
0.2,0.76333,1
0.5,0.76333,1
0.7875,0.76333,1
1,0.76333,1
0,1,1
0.2,1,1
0.5,1,1
0.7875,1,1
1,1,1